account_id,customer_id,account_number,bsb_code,account_type,creation_date,balance,currency,status,is_mule_account,daily_limit,monthly_limit
ACC00000026,AU-CUST00023,880714941,016-580,Current,2024-05-25,362.62,AUD,ACTIVE,False,2000,20000
ACC00000027,AU-CUST00023,689800100,015-265,Business,2025-04-29,115.17,AUD,ACTIVE,False,5000,20000
ACC00000028,AU-CUST00024,330239560,014-265,Current,2025-07-02,385.61,AUD,ACTIVE,False,25000,20000
ACC00000029,AU-CUST00024,156193870,013-595,Current,2025-08-26,2701.21,AUD,ACTIVE,False,10000,20000
ACC00000030,AU-CUST00025,395970391,013-053,Current,2025-01-08,149.15,AUD,ACTIVE,False,10000,100000
ACC00000031,AU-CUST00026,951535924,013-141,Current,2024-10-29,26378.57,AUD,ACTIVE,False,5000,100000
ACC00000032,AU-CUST00027,987862597,016-451,Current,2024-04-08,3112.08,AUD,ACTIVE,False,5000,20000
ACC00000033,AU-CUST00028,280056763,012-879,Current,2025-04-06,2447.71,AUD,ACTIVE,False,10000,20000
ACC00000034,AU-CUST00029,950373918,016-984,Current,2024-12-19,1540.68,AUD,ACTIVE,False,10000,20000
ACC00000035,AU-CUST00029,191809165,015-498,Current,2025-03-11,759.65,AUD,ACTIVE,False,2000,200000
ACC00000036,AU-CUST00030,470786298,018-923,Current,2024-10-09,1986.44,AUD,ACTIVE,False,5000,50000
ACC00000037,AU-CUST00031,409791607,014-333,Current,2024-09-12,3698.43,AUD,ACTIVE,False,5000,100000
ACC00000038,AU-CUST00031,723274238,017-494,Savings,2025-09-15,29412.68,AUD,ACTIVE,False,5000,50000
ACC00000039,AU-CUST00032,411462790,013-055,Current,2024-10-30,5343.47,AUD,ACTIVE,False,10000,20000
ACC00000040,AU-CUST00033,226109411,012-205,Current,2025-04-05,11834.24,AUD,ACTIVE,False,2000,50000
ACC00000041,AU-CUST00033,689933805,013-524,Current,2025-07-24,2676.83,AUD,ACTIVE,False,2000,100000
ACC00000042,AU-CUST00034,396518676,012-289,Current,2025-01-30,9292.39,AUD,ACTIVE,False,5000,20000
ACC00000043,AU-CUST00035,292762736,014-119,Current,2024-09-23,8533.4,AUD,ACTIVE,False,5000,50000
ACC00000044,AU-CUST00036,768072630,012-248,Current,2025-01-01,294.12,AUD,ACTIVE,False,5000,20000
ACC00000045,AU-CUST00036,705503818,013-303,Savings,2025-01-29,327.26,AUD,ACTIVE,False,2000,50000
ACC00000046,AU-CUST00037,119020142,018-845,Current,2025-05-25,1088.77,AUD,ACTIVE,False,10000,200000
ACC00000047,AU-CUST00037,719248916,015-326,Savings,2025-08-04,14736.31,AUD,ACTIVE,False,5000,200000
ACC00000048,AU-CUST00038,537352269,013-250,Current,2024-06-28,1180.09,AUD,ACTIVE,False,5000,20000
ACC00000049,AU-CUST00039,613721771,015-622,Current,2025-05-09,10633.64,AUD,ACTIVE,False,5000,20000
ACC00000050,AU-CUST00039,380996929,015-047,Current,2025-09-28,1149.5,AUD,ACTIVE,False,2000,200000
ACC00000051,AU-CUST00040,818193536,018-945,Current,2024-11-29,847.48,AUD,ACTIVE,False,10000,20000
ACC00000052,AU-CUST00040,629971362,017-932,Savings,2025-02-10,4997.62,AUD,ACTIVE,False,5000,20000
ACC00000053,AU-CUST00041,778430645,013-406,Current,2024-04-11,663.78,AUD,ACTIVE,False,2000,100000
ACC00000054,AU-CUST00042,705331752,014-428,Current,2025-06-14,9203.83,AUD,ACTIVE,False,5000,50000
ACC00000055,AU-CUST00043,639351371,013-249,Current,2025-01-11,83.67,AUD,ACTIVE,False,2000,200000
ACC00000056,AU-CUST00044,146630627,016-440,Current,2024-07-30,5775.06,AUD,ACTIVE,False,5000,100000
ACC00000057,AU-CUST00045,926866345,017-363,Current,2024-04-27,2091.47,AUD,ACTIVE,False,2000,20000
ACC00000058,AU-CUST00046,686679162,017-506,Current,2025-05-17,4195.16,AUD,ACTIVE,False,2000,200000
ACC00000059,AU-CUST00046,142276939,013-461,Savings,2025-08-15,610.07,AUD,ACTIVE,False,2000,50000
ACC00000060,AU-CUST00047,126622967,016-578,Current,2025-03-27,12807.43,AUD,ACTIVE,False,2000,20000
ACC00000061,AU-CUST00048,190771835,016-003,Current,2024-01-25,1169.25,AUD,ACTIVE,False,5000,50000
ACC00000062,AU-CUST00048,808605165,012-649,Current,2024-04-25,1701.67,AUD,ACTIVE,False,5000,20000
ACC00000063,AU-CUST00049,999783944,012-585,Current,2024-12-15,872.52,AUD,ACTIVE,False,5000,20000
ACC00000064,AU-CUST00050,601104997,013-564,Current,2024-03-03,336.88,AUD,ACTIVE,False,2000,50000
ACC00000065,AU-CUST00051,928325082,016-260,Current,2024-06-10,4763.15,AUD,ACTIVE,False,25000,20000
ACC00000066,AU-CUST00052,775283763,014-889,Current,2024-11-07,4224.54,AUD,ACTIVE,False,5000,50000
ACC00000067,AU-CUST00053,675458332,015-658,Current,2024-05-16,6941.07,AUD,ACTIVE,False,5000,100000
ACC00000068,AU-CUST00054,505170991,016-524,Current,2024-10-08,4184.94,AUD,ACTIVE,False,2000,100000
ACC00000069,AU-CUST00055,303506825,017-070,Current,2024-08-23,4095.42,AUD,ACTIVE,False,5000,50000
ACC00000070,AU-CUST00055,132239739,014-345,Savings,2025-09-13,1276.01,AUD,ACTIVE,False,10000,20000
ACC00000071,AU-CUST00056,392486662,016-555,Current,2024-11-15,5583.97,AUD,ACTIVE,False,5000,100000
ACC00000072,AU-CUST00057,252416102,018-034,Current,2025-03-15,522.51,AUD,ACTIVE,False,5000,20000
ACC00000073,AU-CUST00057,795868168,013-966,Current,2025-07-15,7369.58,AUD,ACTIVE,False,25000,50000
ACC00000074,AU-CUST00058,350290591,016-571,Current,2024-03-26,1778.08,AUD,ACTIVE,False,2000,50000
ACC00000075,AU-CUST00059,980145798,017-632,Current,2025-03-13,1665.12,AUD,ACTIVE,False,5000,20000
ACC00000076,AU-CUST00059,537804954,012-428,Current,2025-05-06,703.88,AUD,ACTIVE,False,5000,50000
ACC00000077,AU-CUST00060,772157295,013-126,Current,2024-05-02,6800.29,AUD,ACTIVE,False,2000,200000
ACC00000078,AU-CUST00061,315643335,018-673,Current,2024-01-19,2561.48,AUD,ACTIVE,False,2000,50000
ACC00000079,AU-CUST00062,177338981,016-755,Current,2024-09-02,3639.17,AUD,ACTIVE,False,25000,20000
ACC00000080,AU-CUST00062,455363692,018-322,Savings,2025-07-19,118.35,AUD,ACTIVE,False,10000,50000
ACC00000081,AU-CUST00063,941776485,012-975,Current,2024-06-14,16778.53,AUD,ACTIVE,False,2000,20000
ACC00000082,AU-CUST00064,487839490,016-712,Current,2024-04-11,4485.1,AUD,ACTIVE,False,5000,50000
ACC00000083,AU-CUST00064,136561617,015-613,Business,2024-10-24,1760.43,AUD,ACTIVE,False,2000,100000
ACC00000084,AU-CUST00065,705226863,013-234,Current,2024-08-20,775.33,AUD,ACTIVE,False,2000,50000
ACC00000085,AU-CUST00065,349637724,014-253,Savings,2024-09-29,147052.1,AUD,ACTIVE,False,5000,100000
ACC00000086,AU-CUST00066,585306707,018-962,Current,2025-04-22,36956.37,AUD,ACTIVE,False,2000,50000
ACC00000087,AU-CUST00066,694905793,017-894,Savings,2025-08-25,2041.65,AUD,ACTIVE,False,2000,50000
ACC00000088,AU-CUST00067,648646508,014-355,Current,2024-11-17,1657.88,AUD,ACTIVE,False,2000,100000
ACC00000089,AU-CUST00068,679312632,015-770,Current,2025-02-03,3740.18,AUD,ACTIVE,False,2000,20000
ACC00000090,AU-CUST00069,338810873,013-298,Current,2024-03-23,1657.87,AUD,ACTIVE,False,25000,50000
ACC00000091,AU-CUST00070,976982580,014-427,Current,2024-02-11,3542.06,AUD,ACTIVE,False,10000,50000
ACC00000092,AU-CUST00071,105265664,015-003,Current,2024-07-03,23437.17,AUD,ACTIVE,False,5000,20000
ACC00000093,AU-CUST00072,269241715,012-234,Current,2025-03-01,11778.12,AUD,ACTIVE,False,5000,50000
ACC00000094,AU-CUST00073,990652135,012-494,Current,2025-05-01,1716.25,AUD,ACTIVE,False,2000,50000
ACC00000095,AU-CUST00074,763912288,015-391,Current,2024-02-25,353.26,AUD,ACTIVE,False,10000,100000
ACC00000096,AU-CUST00075,806300350,018-390,Current,2024-09-18,1259.87,AUD,ACTIVE,False,5000,20000
ACC00000097,AU-CUST00075,297576805,018-626,Current,2025-02-27,3087.84,AUD,ACTIVE,False,5000,200000
ACC00000098,AU-CUST00076,746352503,016-824,Current,2024-08-05,672.07,AUD,ACTIVE,False,2000,20000
ACC00000099,AU-CUST00077,661554275,017-325,Current,2025-02-12,4301.44,AUD,ACTIVE,False,25000,20000
ACC00000100,AU-CUST00078,395499190,014-694,Current,2024-04-22,32411.74,AUD,ACTIVE,False,10000,100000
ACC00000101,AU-CUST00078,387061746,013-606,Savings,2025-01-15,2192.9,AUD,ACTIVE,False,5000,50000
ACC00000102,AU-CUST00079,829159008,012-591,Current,2024-09-23,300.57,AUD,ACTIVE,False,2000,200000
ACC00000103,AU-CUST00079,643034150,017-733,Savings,2025-06-14,4326.47,AUD,ACTIVE,False,10000,200000
ACC00000104,AU-CUST00080,796637437,016-007,Current,2025-04-11,5642.73,AUD,ACTIVE,False,2000,200000
ACC00000105,AU-CUST00081,485969653,012-191,Current,2024-09-12,21014.94,AUD,ACTIVE,False,25000,200000
ACC00000106,AU-CUST00082,262574479,017-553,Current,2025-03-04,2304.11,AUD,ACTIVE,False,25000,200000
ACC00000107,AU-CUST00083,480349044,012-701,Current,2024-12-07,647.85,AUD,ACTIVE,False,25000,50000
ACC00000108,AU-CUST00083,974191599,018-653,Savings,2025-03-18,5301.94,AUD,ACTIVE,False,5000,20000
ACC00000109,AU-CUST00084,421195415,013-492,Current,2024-11-23,9019.61,AUD,ACTIVE,False,2000,50000
ACC00000110,AU-CUST00085,955510999,014-898,Current,2024-05-22,1750.41,AUD,ACTIVE,False,25000,50000
ACC00000111,AU-CUST00085,982607920,014-872,Business,2024-07-28,4137.54,AUD,ACTIVE,False,5000,50000
ACC00000112,AU-CUST00086,359438817,017-952,Current,2025-06-28,12189.61,AUD,ACTIVE,False,2000,50000
ACC00000113,AU-CUST00086,647069628,016-155,Business,2025-08-22,759.36,AUD,ACTIVE,False,2000,20000
ACC00000114,AU-CUST00087,797876756,012-138,Current,2024-05-17,257.55,AUD,ACTIVE,False,2000,100000
ACC00000115,AU-CUST00088,530221428,012-884,Current,2025-05-26,951.24,AUD,ACTIVE,False,2000,50000
ACC00000116,AU-CUST00088,485127049,016-633,Savings,2025-08-22,27068.29,AUD,ACTIVE,False,5000,200000
ACC00000117,AU-CUST00089,437109465,013-871,Current,2025-06-27,21780.53,AUD,ACTIVE,False,10000,20000
ACC00000118,AU-CUST00090,237797156,013-617,Current,2024-10-07,424.52,AUD,ACTIVE,False,5000,100000
ACC00000119,AU-CUST00091,442492830,015-167,Current,2025-04-22,5934.12,AUD,ACTIVE,False,5000,50000
ACC00000120,AU-CUST00091,320729242,014-630,Business,2025-09-22,285.44,AUD,ACTIVE,False,5000,100000
ACC00000121,AU-CUST00092,101926688,018-644,Current,2025-01-27,6909.47,AUD,ACTIVE,False,2000,100000
ACC00000122,AU-CUST00093,726204262,012-813,Current,2025-02-09,392.93,AUD,ACTIVE,False,2000,100000
ACC00000123,AU-CUST00094,353716070,016-567,Current,2024-02-07,599.56,AUD,ACTIVE,False,2000,50000
ACC00000124,AU-CUST00095,241126239,016-204,Current,2024-03-16,10125.59,AUD,ACTIVE,False,2000,100000
ACC00000125,AU-CUST00095,611101345,016-974,Savings,2024-05-02,261.23,AUD,ACTIVE,False,10000,50000
ACC00000126,AU-CUST00096,165136968,016-503,Current,2024-02-08,1839.7,AUD,ACTIVE,False,5000,100000
ACC00000127,AU-CUST00097,367854522,012-626,Current,2024-01-17,934.33,AUD,ACTIVE,False,5000,100000
ACC00000128,AU-CUST00098,567965382,012-990,Current,2025-04-03,507.39,AUD,ACTIVE,False,10000,20000
ACC00000129,AU-CUST00099,287286719,018-723,Current,2024-04-06,1801.8,AUD,ACTIVE,False,5000,20000
ACC00000130,AU-CUST00100,747520830,018-344,Current,2024-01-04,843.8,AUD,ACTIVE,False,5000,50000
ACC00000131,AU-CUST00101,197126152,018-341,Current,2025-05-29,621.19,AUD,ACTIVE,False,10000,50000
ACC00000132,AU-CUST00102,304409984,018-084,Current,2024-06-02,71043.91,AUD,ACTIVE,False,2000,200000
ACC00000133,AU-CUST00103,987103012,015-815,Current,2025-03-24,22187.15,AUD,ACTIVE,False,2000,50000
ACC00000134,AU-CUST00103,746543726,012-526,Savings,2025-06-15,401.02,AUD,ACTIVE,False,2000,50000
ACC00000135,AU-CUST00104,771913845,013-921,Current,2025-06-11,27027.06,AUD,ACTIVE,False,25000,50000
ACC00000136,AU-CUST00105,765622291,013-801,Current,2024-10-14,374.19,AUD,ACTIVE,False,25000,50000
ACC00000137,AU-CUST00105,441215032,017-905,Savings,2025-04-29,1396.98,AUD,ACTIVE,False,2000,100000
ACC00000138,AU-CUST00106,199100865,017-518,Current,2025-05-23,10351.68,AUD,ACTIVE,False,2000,200000
ACC00000139,AU-CUST00107,343738663,013-797,Current,2025-06-15,11679.52,AUD,ACTIVE,False,5000,50000
ACC00000140,AU-CUST00108,643767092,017-282,Current,2024-03-20,4686.54,AUD,ACTIVE,False,5000,200000
ACC00000141,AU-CUST00109,746300832,018-959,Current,2024-03-21,4486.53,AUD,ACTIVE,False,10000,100000
ACC00000142,AU-CUST00110,556615452,017-192,Current,2024-07-22,8518.01,AUD,ACTIVE,False,5000,50000
ACC00000143,AU-CUST00110,248305089,013-829,Savings,2024-12-12,9125.22,AUD,ACTIVE,False,2000,20000
ACC00000144,AU-CUST00111,388226015,012-668,Current,2024-11-02,470.34,AUD,ACTIVE,False,5000,20000
ACC00000145,AU-CUST00112,156624124,018-208,Current,2025-03-07,115.57,AUD,ACTIVE,False,10000,50000
ACC00000146,AU-CUST00113,942099576,015-334,Current,2024-04-10,3593.67,AUD,ACTIVE,False,2000,50000
ACC00000147,AU-CUST00113,360741868,018-973,Savings,2025-09-23,2974.68,AUD,ACTIVE,False,2000,200000
ACC00000148,AU-CUST00114,463658692,014-971,Current,2024-04-16,3126.21,AUD,ACTIVE,False,5000,50000
ACC00000149,AU-CUST00115,526272691,016-355,Current,2024-06-17,46400.88,AUD,ACTIVE,False,2000,50000
ACC00000150,AU-CUST00116,697948521,017-169,Current,2024-05-28,4767.79,AUD,ACTIVE,False,10000,200000
ACC00000151,AU-CUST00116,121026330,012-204,Business,2025-04-12,1360.82,AUD,ACTIVE,False,25000,100000
ACC00000152,AU-CUST00117,514466422,012-841,Current,2025-05-31,6860.99,AUD,ACTIVE,False,5000,100000
ACC00000153,AU-CUST00118,269235735,017-391,Current,2024-08-05,1555.13,AUD,ACTIVE,False,5000,20000
ACC00000154,AU-CUST00118,709068203,013-633,Current,2025-03-18,1937.19,AUD,ACTIVE,False,10000,20000
ACC00000155,AU-CUST00119,468277356,018-550,Current,2025-04-21,6732.2,AUD,ACTIVE,False,2000,20000
ACC00000156,AU-CUST00120,909825718,013-982,Current,2024-01-31,29421.62,AUD,ACTIVE,False,2000,20000
ACC00000157,AU-CUST00120,205101734,018-377,Savings,2025-07-02,6593.02,AUD,ACTIVE,False,5000,100000
ACC00000158,AU-CUST00121,399293711,018-765,Current,2024-02-25,2371.43,AUD,ACTIVE,False,2000,20000
ACC00000159,AU-CUST00122,963819739,016-086,Current,2025-03-17,1779.31,AUD,ACTIVE,False,2000,50000
ACC00000160,AU-CUST00123,921715297,018-966,Current,2024-05-16,2297.41,AUD,ACTIVE,False,2000,50000
ACC00000161,AU-CUST00123,161213379,018-742,Current,2024-12-15,15735.74,AUD,ACTIVE,False,5000,20000
ACC00000162,AU-CUST00124,118269788,017-479,Current,2024-02-15,6605.18,AUD,ACTIVE,False,2000,20000
ACC00000163,AU-CUST00124,224320899,016-797,Business,2024-11-05,14024.43,AUD,ACTIVE,False,2000,20000
ACC00000164,AU-CUST00125,248327783,017-596,Current,2024-11-22,183.98,AUD,ACTIVE,False,5000,50000
ACC00000165,AU-CUST00126,532642715,016-297,Current,2024-03-21,211.0,AUD,ACTIVE,False,2000,50000
ACC00000166,AU-CUST00127,747950346,015-299,Current,2024-02-03,47733.29,AUD,ACTIVE,False,25000,50000
ACC00000167,AU-CUST00128,579037388,016-736,Current,2024-08-10,2987.58,AUD,ACTIVE,False,5000,20000
ACC00000168,AU-CUST00129,807315494,016-804,Current,2024-10-28,20015.15,AUD,ACTIVE,False,5000,50000
ACC00000169,AU-CUST00130,698866403,014-518,Current,2024-10-16,5980.44,AUD,ACTIVE,False,5000,100000
ACC00000170,AU-CUST00131,245357177,018-382,Current,2024-11-16,8615.68,AUD,ACTIVE,False,2000,200000
ACC00000171,AU-CUST00132,905017484,016-183,Current,2024-01-13,478.36,AUD,ACTIVE,False,5000,200000
ACC00000172,AU-CUST00133,497991719,015-143,Current,2024-06-08,432.5,AUD,ACTIVE,False,25000,50000
ACC00000173,AU-CUST00134,208807193,012-464,Current,2024-07-07,473.81,AUD,ACTIVE,False,2000,50000
ACC00000174,AU-CUST00134,164679408,012-814,Savings,2024-10-18,2474.52,AUD,ACTIVE,False,10000,50000
ACC00000175,AU-CUST00135,226927658,016-619,Current,2024-06-09,5992.19,AUD,ACTIVE,False,2000,100000
ACC00000176,AU-CUST00136,684985186,018-882,Current,2024-11-02,15409.91,AUD,ACTIVE,False,2000,200000
ACC00000177,AU-CUST00136,351515951,018-175,Business,2025-03-02,1173.53,AUD,ACTIVE,False,10000,200000
ACC00000178,AU-CUST00137,502942831,016-167,Current,2024-05-05,4046.55,AUD,ACTIVE,False,2000,20000
ACC00000179,AU-CUST00137,942793513,012-051,Business,2024-08-25,890.23,AUD,ACTIVE,False,10000,50000
ACC00000180,AU-CUST00138,754378739,016-808,Current,2024-12-12,57405.64,AUD,ACTIVE,False,5000,20000
ACC00000181,AU-CUST00139,516772808,016-270,Current,2025-05-28,3763.48,AUD,ACTIVE,False,5000,50000
ACC00000182,AU-CUST00140,838179383,018-243,Current,2024-12-28,2521.13,AUD,ACTIVE,False,5000,20000
ACC00000183,AU-CUST00141,301533581,012-413,Current,2024-08-01,20568.36,AUD,ACTIVE,False,10000,100000
ACC00000184,AU-CUST00142,930736898,018-210,Current,2024-08-26,115.54,AUD,ACTIVE,False,10000,100000
ACC00000185,AU-CUST00143,960815947,014-083,Current,2024-11-17,377.56,AUD,ACTIVE,False,25000,100000
ACC00000186,AU-CUST00143,177803124,014-719,Current,2025-04-07,935.62,AUD,ACTIVE,False,2000,50000
ACC00000187,AU-CUST00144,823789186,012-583,Current,2025-02-01,587.14,AUD,ACTIVE,False,5000,20000
ACC00000188,AU-CUST00145,820390743,016-250,Current,2024-06-14,2646.13,AUD,ACTIVE,False,10000,100000
ACC00000189,AU-CUST00146,938514531,014-891,Current,2024-01-22,21328.69,AUD,ACTIVE,False,5000,20000
ACC00000190,AU-CUST00147,218327932,014-104,Current,2025-01-20,15319.49,AUD,ACTIVE,False,5000,20000
ACC00000191,AU-CUST00148,108324038,016-997,Current,2024-12-29,1476.98,AUD,ACTIVE,False,2000,20000
ACC00000192,AU-CUST00149,146383709,018-658,Current,2024-02-25,1601.1,AUD,ACTIVE,False,5000,100000
ACC00000193,AU-CUST00150,740352834,018-921,Current,2024-12-09,2547.87,AUD,ACTIVE,False,2000,50000
ACC00000194,AU-CUST00151,925091438,014-624,Current,2024-02-09,580.48,AUD,ACTIVE,False,5000,50000
ACC00000195,AU-CUST00151,442593416,014-273,Business,2024-05-17,1421.5,AUD,ACTIVE,False,5000,50000
ACC00000196,AU-CUST00152,678200317,014-301,Current,2024-12-19,4795.56,AUD,ACTIVE,False,2000,50000
ACC00000197,AU-CUST00152,923688295,018-057,Savings,2025-07-30,243.21,AUD,ACTIVE,False,2000,20000
ACC00000198,AU-CUST00153,177199942,016-490,Current,2025-02-12,2095.11,AUD,ACTIVE,False,10000,200000
ACC00000199,AU-CUST00154,120319926,012-241,Current,2024-01-09,410.05,AUD,ACTIVE,False,5000,50000
ACC00000200,AU-CUST00155,348705298,016-895,Current,2025-02-02,422.31,AUD,ACTIVE,False,2000,100000
ACC00000201,AU-CUST00156,369472082,016-304,Current,2024-03-07,281.55,AUD,ACTIVE,False,2000,100000
ACC00000202,AU-CUST00157,209776489,017-918,Current,2024-05-25,2196.47,AUD,ACTIVE,False,25000,50000
ACC00000203,AU-CUST00158,697041988,014-680,Current,2025-01-21,319.4,AUD,ACTIVE,False,5000,20000
ACC00000204,AU-CUST00159,876901447,016-662,Current,2024-07-13,9919.56,AUD,ACTIVE,False,10000,20000
ACC00000205,AU-CUST00159,393502057,012-022,Current,2025-07-23,61775.53,AUD,ACTIVE,False,2000,100000
ACC00000206,AU-CUST00160,228903633,016-027,Current,2025-06-20,13822.67,AUD,ACTIVE,False,25000,50000
ACC00000207,AU-CUST00160,440986497,017-902,Savings,2025-09-29,1335.41,AUD,ACTIVE,False,10000,20000
ACC00000208,AU-CUST00161,167077364,012-029,Current,2025-06-09,5003.33,AUD,ACTIVE,False,2000,100000
ACC00000209,AU-CUST00162,213339703,018-476,Current,2025-06-25,493.75,AUD,ACTIVE,False,2000,100000
ACC00000210,AU-CUST00163,897171368,017-338,Current,2024-02-27,4401.21,AUD,ACTIVE,False,2000,100000
ACC00000211,AU-CUST00163,652648219,014-760,Current,2024-09-06,5807.23,AUD,ACTIVE,False,25000,50000
ACC00000212,AU-CUST00164,784270038,018-781,Current,2024-04-06,3125.72,AUD,ACTIVE,False,2000,200000
ACC00000213,AU-CUST00165,816435543,015-020,Current,2024-04-10,2534.03,AUD,ACTIVE,False,2000,100000
ACC00000214,AU-CUST00166,767234241,018-218,Current,2024-11-17,9986.87,AUD,ACTIVE,False,25000,200000
ACC00000215,AU-CUST00166,595236809,015-466,Savings,2025-01-03,20833.62,AUD,ACTIVE,False,2000,50000
ACC00000216,AU-CUST00167,437935936,014-256,Current,2024-08-24,8692.31,AUD,ACTIVE,False,10000,100000
ACC00000217,AU-CUST00168,426605017,017-709,Current,2025-02-13,3244.37,AUD,ACTIVE,False,2000,100000
ACC00000218,AU-CUST00168,501285133,018-282,Savings,2025-04-16,10148.7,AUD,ACTIVE,False,5000,20000
ACC00000219,AU-CUST00169,388042563,017-764,Current,2024-06-03,1413.27,AUD,ACTIVE,True,5000,50000
ACC00000220,AU-CUST00169,182263761,016-566,Savings,2024-09-18,3925.56,AUD,ACTIVE,True,2000,50000
ACC00000221,AU-CUST00170,866629588,017-090,Current,2024-04-19,1522.13,AUD,ACTIVE,False,2000,20000
ACC00000222,AU-CUST00171,929325230,017-488,Current,2024-12-22,4558.94,AUD,ACTIVE,False,2000,20000
ACC00000223,AU-CUST00172,909057447,017-400,Current,2024-12-04,2386.15,AUD,ACTIVE,False,2000,200000
ACC00000224,AU-CUST00173,465894342,018-379,Current,2025-01-14,466.15,AUD,ACTIVE,False,5000,50000
ACC00000225,AU-CUST00174,934663143,014-478,Current,2024-06-20,11367.4,AUD,ACTIVE,False,2000,50000
ACC00000226,AU-CUST00175,313930290,017-490,Current,2024-10-15,274.92,AUD,ACTIVE,False,2000,50000
ACC00000227,AU-CUST00175,331831894,013-754,Savings,2025-03-03,4206.74,AUD,ACTIVE,False,2000,50000
ACC00000228,AU-CUST00176,181303630,013-046,Current,2025-05-24,7054.55,AUD,ACTIVE,False,25000,20000
ACC00000229,AU-CUST00176,674103879,015-703,Savings,2025-06-08,791.91,AUD,ACTIVE,False,25000,50000
ACC00000230,AU-CUST00177,297110171,015-358,Current,2024-12-01,8118.52,AUD,ACTIVE,False,10000,100000
ACC00000231,AU-CUST00178,135983801,014-980,Current,2025-05-26,7420.36,AUD,ACTIVE,False,2000,100000
ACC00000232,AU-CUST00179,856440265,015-802,Current,2024-08-25,1096.42,AUD,ACTIVE,False,10000,20000
ACC00000233,AU-CUST00179,301887803,014-373,Savings,2024-09-14,3389.99,AUD,ACTIVE,False,2000,100000
ACC00000234,AU-CUST00180,769727121,013-749,Current,2024-01-25,679.62,AUD,ACTIVE,False,2000,50000
ACC00000235,AU-CUST00181,215324121,016-279,Current,2025-02-21,10656.04,AUD,ACTIVE,False,2000,100000
ACC00000236,AU-CUST00182,444589752,012-607,Current,2024-09-09,1364.23,AUD,ACTIVE,False,2000,100000
ACC00000237,AU-CUST00183,694379851,014-622,Current,2024-01-24,2709.83,AUD,ACTIVE,False,10000,50000
ACC00000238,AU-CUST00184,533928492,016-347,Current,2024-03-17,1327.92,AUD,ACTIVE,False,5000,20000
ACC00000239,AU-CUST00185,106033257,014-023,Current,2024-06-20,183424.05,AUD,ACTIVE,False,2000,20000
ACC00000240,AU-CUST00186,175000933,014-140,Current,2024-04-14,3349.72,AUD,ACTIVE,False,10000,20000
