customer_id,name,date_of_birth,gender,citizenship,marital_status,employment_status,annual_income,customer_segment,onboarding_date,digital_literacy_level,known_device_familiarity_score,scam_education_completed,risk_profile,is_vulnerable,vulnerability_score,vulnerability_flags,is_mule_account,credit_score,kyc_level,aml_risk_level
AU-CUST00153,Debra Morton,2000-10-18,Male,AU,Single,Retired,95125,Standard,2024-03-28,Medium,0.902,True,Low,False,0.0,PRIOR_VICTIM,False,738,Simplified,Medium
AU-CUST00046,Rebecca Henderson,1979-10-24,Male,AU,Single,Part-time,37724,Standard,2025-02-09,Medium,0.79,True,Low,False,0.0,ELDERLY|LOW_INCOME,False,525,Standard,Medium
AU-CUST00876,Michael Miles,2006-10-17,Male,AU,Married,Retired,18191,Standard,2024-07-18,Medium,0.484,True,Low,True,0.0,LOW_INCOME,False,669,Enhanced,Medium
AU-CUST00656,Susan Thompson,1967-10-27,Male,AU,Single,Full-time,11817,Standard,2025-06-09,High,0.826,True,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,671,Standard,Medium
AU-CUST00926,Joshua Washington,1956-10-29,Male,AU,Widowed,Full-time,74185,Standard,2024-08-19,Low,0.795,True,Low,True,0.0,PRIOR_VICTIM,False,805,Simplified,Medium
AU-CUST00232,Elizabeth Perkins,2003-10-18,Male,AU,Married,Part-time,28528,Standard,2024-05-16,Low,0.684,False,Low,True,0.0,YOUNG_ADULT|LOW_INCOME,False,547,Simplified,High
AU-CUST00186,Justin Torres,1971-10-26,Male,AU,Single,Self-employed,119941,Premium,2025-01-08,Medium,0.335,False,Low,False,0.0,PRIOR_VICTIM,False,683,Enhanced,Medium
AU-CUST00466,Alfred Galvan,1973-10-25,Male,AU,Married,Full-time,33650,Standard,2025-05-14,High,0.291,False,Low,True,0.0,PRIOR_VICTIM,False,711,Enhanced,Medium
AU-CUST00092,Rebecca Valencia,1951-10-31,Male,AU,Single,Self-employed,118725,Premium,2025-03-01,Medium,0.578,True,Low,False,0.0,PRIOR_VICTIM,False,779,Standard,Medium
AU-CUST00561,Nancy Evans MD,2006-10-17,Male,AU,Married,Part-time,49785,Standard,2024-07-08,Low,0.701,False,Low,True,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,646,Simplified,High
AU-CUST00244,Michael Bradshaw,2005-10-17,Male,AU,Married,Full-time,95724,Standard,2024-03-14,Medium,0.833,False,Very High,False,0.01,LOW_DIGITAL_LITERACY,False,684,Standard,Medium
AU-CUST00270,Benjamin Smith,1994-10-20,Male,AU,Single,Part-time,102879,Standard,2025-05-31,Medium,0.595,True,Medium,True,0.0,YOUNG_ADULT|LOW_INCOME,False,581,Standard,Medium
AU-CUST00455,Travis Tucker,2007-10-17,Male,AU,Married,Full-time,48925,Standard,2024-09-18,Medium,0.404,False,Low,False,0.0,PRIOR_VICTIM,False,705,Enhanced,Medium
AU-CUST00770,Lisa Cervantes,1986-10-22,Male,AU,Married,Full-time,104193,Standard,2024-02-09,High,0.724,True,Low,True,0.0,PRIOR_VICTIM,False,573,Standard,Medium
AU-CUST00707,David Davenport,2005-10-17,Male,AU,Single,Retired,91441,Standard,2024-11-25,Medium,0.811,True,Medium,False,0.01,YOUNG_ADULT,False,510,Standard,High
AU-CUST00368,Theresa Williams,1953-10-30,Male,AU,Married,Part-time,61782,Standard,2024-07-07,High,0.435,False,Low,False,0.0,PRIOR_VICTIM,False,713,Standard,Medium
AU-CUST00397,Jesse Perry,1981-10-23,Male,AU,Single,Part-time,30017,Standard,2024-11-02,Medium,0.815,False,Low,False,0.0,LOW_INCOME,False,684,Enhanced,Medium
AU-CUST00006,Connie Lawrence,1961-10-28,Male,AU,Single,Full-time,33973,Standard,2024-11-16,High,0.764,True,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,816,Standard,Medium
AU-CUST00988,Karen Johnson,1988-10-21,Male,AU,Married,Unemployed,11080,Standard,2024-08-18,High,0.744,False,Medium,True,0.02,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,548,Standard,Medium
AU-CUST00386,Paul Wilson,1963-10-28,Male,AU,Single,Part-time,18699,Standard,2025-01-25,Low,0.393,True,Medium,True,0.04,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,542,Standard,Medium
AU-CUST00771,Michael Henry,1977-10-24,Male,AU,Single,Part-time,33465,Standard,2024-07-19,Medium,0.887,True,Medium,False,0.06,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,448,Standard,High
AU-CUST00643,Rachel Bradley,1978-10-24,Male,AU,Divorced,Unemployed,89552,Standard,2024-11-30,Medium,0.8,True,Medium,False,0.01,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,582,Standard,Medium
AU-CUST00315,Joyce Bowen,2004-10-17,Male,AU,Single,Full-time,59505,Standard,2024-10-28,Low,0.915,False,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,809,Standard,Medium
AU-CUST00462,James Bradley,1993-10-20,Male,AU,Single,Retired,20827,Standard,2024-12-09,Medium,0.743,True,Low,False,0.0,LOW_INCOME,False,588,Standard,Medium
AU-CUST00964,Mitchell Sellers,1995-10-20,Male,AU,Single,Unemployed,57872,Standard,2025-05-08,High,0.842,False,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,612,Simplified,High
AU-CUST00781,Raymond Chapman,1966-10-27,Male,AU,Married,Full-time,78743,Standard,2024-10-06,Medium,0.826,False,Low,False,0.0,PRIOR_VICTIM,False,716,Simplified,Medium
AU-CUST00185,Michael Elliott,2004-10-17,Male,AU,Single,Unemployed,23156,Standard,2024-09-19,Low,0.37,False,Medium,True,0.02,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,349,Enhanced,High
AU-CUST00728,Karl Branch,1966-10-27,Male,AU,Married,Retired,11113,Standard,2025-04-11,High,0.853,True,Medium,True,0.04,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,492,Enhanced,Medium
AU-CUST00252,Frank Cordova,1996-10-19,Male,AU,Married,Retired,17407,Standard,2025-02-21,High,0.496,True,Medium,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,507,Standard,Medium
AU-CUST00287,Heather Fields,1956-10-29,Male,AU,Married,Full-time,54647,Standard,2024-06-28,Medium,0.959,False,Low,False,0.0,PRIOR_VICTIM,False,725,Standard,Medium
AU-CUST00017,Brian Ramirez,1975-10-25,Male,AU,Married,Full-time,43985,Standard,2024-07-12,High,0.627,True,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,614,Standard,Medium
AU-CUST00712,Shannon Malone,1949-10-31,Male,AU,Single,Full-time,90826,Standard,2025-03-07,High,0.797,True,Low,False,0.0,PRIOR_VICTIM,False,773,Standard,Medium
AU-CUST00960,Tom Foster,1977-10-24,Male,AU,Married,Retired,64422,Premium,2024-07-10,High,0.355,True,Medium,True,0.02,YOUNG_ADULT,False,634,Standard,High
AU-CUST00158,Courtney Gonzalez,1975-10-25,Male,AU,Married,Full-time,52454,Standard,2024-06-19,Medium,0.764,True,Low,True,0.0,ELDERLY,False,691,Standard,Medium
AU-CUST00815,Aaron Schroeder,1990-10-21,Male,AU,Single,Full-time,116515,Standard,2025-04-16,Medium,0.388,False,Low,False,0.0,PRIOR_VICTIM,False,775,Enhanced,Medium
AU-CUST00324,Tanner Mitchell DDS,1987-10-22,Male,AU,Single,Retired,10794,Standard,2024-05-06,High,0.375,True,Medium,True,0.02,ELDERLY|LOW_INCOME,False,537,Standard,High
AU-CUST00261,Cynthia Moore,1994-10-20,Male,AU,Married,Part-time,44982,Standard,2024-11-29,Medium,0.93,True,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,636,Simplified,Medium
AU-CUST00821,Jose Ramirez,1963-10-28,Male,AU,Married,Unemployed,66682,Standard,2024-07-31,Medium,0.55,True,Medium,True,0.01,ELDERLY|LOW_INCOME,False,384,Simplified,High
AU-CUST00052,Shane Henderson,1993-10-20,Male,AU,Single,Part-time,32738,Standard,2025-01-01,High,0.651,False,Low,False,0.0,PRIOR_VICTIM,False,563,Simplified,Medium
AU-CUST00392,Megan Nelson,1973-10-25,Male,AU,Single,Unemployed,11291,Standard,2025-01-08,Low,0.682,True,Medium,True,0.05,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,591,Simplified,High
AU-CUST00489,Kristy Bryan,1986-10-22,Male,AU,Single,Retired,61070,Standard,2024-05-15,Medium,0.45,True,Low,True,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,697,Standard,Medium
AU-CUST00546,Michael Johnson,2003-10-18,Male,AU,Married,Part-time,109760,Premium,2024-06-20,High,0.79,True,Low,False,0.0,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,621,Enhanced,Medium
AU-CUST00450,Jason Beck,1974-10-25,Male,AU,Single,Full-time,119164,Premium,2024-06-10,Medium,0.837,True,Low,False,0.0,PRIOR_VICTIM,False,765,Standard,Medium
AU-CUST00735,Michael Henry,1950-10-31,Male,AU,Widowed,Retired,58833,Standard,2025-06-11,Low,0.201,True,Medium,True,0.01,ELDERLY|LOW_INCOME|LOW_DIGITAL_LITERACY,False,507,Simplified,Medium
AU-CUST00658,Suzanne Wood,1969-10-26,Male,AU,Single,Retired,85357,Standard,2024-03-27,Medium,0.532,False,Very High,False,0.0,ELDERLY,False,539,Enhanced,High
AU-CUST00452,Marie Moody,1957-10-29,Male,AU,Single,Unemployed,36577,Standard,2024-11-20,High,0.304,True,Medium,False,0.04,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,510,Simplified,High
AU-CUST00881,Laura Jones,1984-10-22,Male,AU,Single,Part-time,32027,Standard,2024-03-31,High,0.429,True,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,711,Standard,Medium
AU-CUST00788,Rodney Williams,2002-10-18,Male,AU,Single,Full-time,73453,Standard,2024-10-29,Medium,0.762,True,Low,False,0.0,PRIOR_VICTIM,False,745,Standard,Medium
AU-CUST00563,Nancy Evans MD,1997-10-19,Male,AU,Single,Full-time,111322,Standard,2024-06-30,Medium,0.79,True,Low,False,0.0,PRIOR_VICTIM,False,720,Enhanced,Medium
AU-CUST00208,Michael Powell,1978-10-24,Male,AU,Single,Full-time,19880,Standard,2025-02-25,High,0.473,False,Medium,True,0.15,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,517,Enhanced,High
AU-CUST00726,Kyle Nguyen,1954-10-30,Male,AU,Single,Retired,19366,Standard,2024-12-06,Medium,0.233,True,Medium,True,0.02,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,446,Standard,Medium
AU-CUST00573,Robert Reese,1960-10-28,Male,AU,Married,Full-time,108680,Standard,2024-09-05,Medium,0.792,True,Low,False,0.0,PRIOR_VICTIM,False,608,Enhanced,Medium
AU-CUST00594,Elizabeth Mendez,1984-10-22,Male,AU,Married,Full-time,33691,Standard,2024-07-04,Medium,0.437,True,Low,True,0.0,PRIOR_VICTIM,False,665,Standard,High
AU-CUST00595,Brian Martin,1993-10-20,Male,AU,Single,Full-time,87238,Standard,2025-03-04,Medium,0.719,False,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,732,Enhanced,Medium
AU-CUST00003,Daniel Wagner,1979-10-24,Male,AU,Single,Retired,68714,Standard,2024-10-16,Medium,0.897,True,Very High,False,0.0,LOW_DIGITAL_LITERACY,False,666,Simplified,Medium
AU-CUST00947,Samantha Foster,1991-10-21,Male,AU,Single,Full-time,11515,Standard,2024-04-28,Medium,0.704,True,Medium,False,0.01,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,522,Standard,Medium
AU-CUST00904,Johnathan Brown,1989-10-21,Male,AU,Single,Full-time,112093,Standard,2024-05-05,Medium,0.804,True,Low,False,0.0,PRIOR_VICTIM,False,715,Standard,Medium
AU-CUST00421,Paul Lewis,1941-11-02,Male,AU,Widowed,Part-time,15520,Standard,2024-09-23,Medium,0.696,True,Low,False,0.0,YOUNG_ADULT,False,660,Enhanced,Medium
AU-CUST00403,Kathleen Webster,2005-10-17,Male,AU,Single,Part-time,68962,Standard,2024-06-02,Medium,0.472,False,High,True,0.0,YOUNG_ADULT|LOW_INCOME,False,670,Simplified,High
AU-CUST00875,Ian Porter,1943-11-02,Male,AU,Married,Full-time,116819,Premium,2024-02-08,Medium,0.38,True,Medium,False,0.0,LOW_INCOME,False,581,Standard,Medium
AU-CUST00740,Amanda Terrell,1985-10-22,Male,AU,Single,Full-time,94972,Premium,2025-05-08,Medium,0.287,True,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,537,Standard,Medium
AU-CUST00390,Glen Wood,1984-10-22,Male,AU,Married,Part-time,61841,Standard,2024-09-05,Low,0.847,True,Low,False,0.0,PRIOR_VICTIM,False,729,Standard,Medium
AU-CUST00470,Monica Miller,1946-11-01,Male,AU,Single,Full-time,18433,Standard,2024-05-07,High,0.664,False,Medium,False,0.03,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,711,Enhanced,Medium
AU-CUST00134,Robert Potter,1953-10-30,Male,AU,Married,Full-time,11885,Standard,2024-02-15,Low,0.801,True,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,730,Standard,Medium
AU-CUST00312,Theresa Williams,1966-10-27,Male,AU,Married,Full-time,91794,Standard,2024-12-23,High,0.354,True,Low,False,0.0,PRIOR_VICTIM,False,782,Enhanced,Medium
AU-CUST00859,Michael Poole,1941-11-02,Male,AU,Widowed,Student,27895,Standard,2024-09-03,Medium,0.756,False,Low,False,0.0,LOW_INCOME,False,536,Standard,Medium
AU-CUST00420,Emily Bennett,1999-10-19,Male,AU,Single,Part-time,24341,Standard,2024-04-11,High,0.78,False,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,618,Standard,Medium
AU-CUST00691,James Watson,2004-10-17,Male,AU,Single,Part-time,12194,Standard,2024-02-03,Low,0.801,False,Medium,True,0.04,ELDERLY|LOW_INCOME,False,599,Standard,High
AU-CUST00439,Rhonda Martin,1989-10-21,Male,AU,Married,Unemployed,99487,Standard,2024-06-08,Medium,0.264,True,Low,False,0.0,PRIOR_VICTIM,False,672,Standard,Medium
AU-CUST00247,Adam Vaughan,1953-10-30,Male,AU,Married,Full-time,29442,Standard,2024-08-17,Medium,0.959,False,Low,False,0.0,YOUNG_ADULT,False,746,Standard,Medium
AU-CUST00340,Daniel Kane,1958-10-29,Male,AU,Married,Unemployed,10436,Standard,2024-06-25,High,0.361,True,Medium,True,0.17,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,472,Enhanced,High
AU-CUST00402,Kathleen Webster,1955-10-30,Male,AU,Widowed,Full-time,65063,Standard,2025-03-07,Medium,0.755,True,Low,False,0.02,YOUNG_ADULT,True,711,Simplified,High
AU-CUST00893,Jordan Williams,1971-10-26,Male,AU,Married,Full-time,107840,Standard,2025-01-23,Medium,0.872,False,Low,False,0.0,PRIOR_VICTIM,False,774,Simplified,Medium
AU-CUST00117,John Whitehead,1958-10-29,Male,AU,Married,Unemployed,25116,Standard,2025-01-27,Medium,0.346,True,Low,False,0.0,PRIOR_VICTIM,False,442,Standard,Medium
AU-CUST00098,Stephen Mckee,1975-10-25,Male,AU,Married,Full-time,75556,Standard,2024-07-13,High,0.84,False,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,640,Standard,High
AU-CUST00313,Andrea Hubbard,1990-10-21,Male,AU,Single,Part-time,10723,Standard,2024-08-24,Medium,0.626,False,Low,False,0.0,PRIOR_VICTIM,False,664,Standard,Medium
AU-CUST00495,Larry Robertson,1987-10-22,Male,AU,Single,Full-time,16087,Standard,2024-02-14,Medium,0.841,True,Low,True,0.0,PRIOR_VICTIM,False,578,Simplified,High
AU-CUST00596,Susan Thompson,2001-10-18,Male,AU,Single,Full-time,99922,Standard,2024-07-13,Medium,0.529,True,Low,False,0.0,PRIOR_VICTIM,False,591,Standard,Medium
AU-CUST00016,Michele Williams,2007-10-17,Male,AU,Single,Retired,22482,Standard,2025-05-25,Medium,0.561,False,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,555,Enhanced,Medium
AU-CUST00536,James Gilbert,1953-10-30,Male,AU,Single,Retired,21744,Standard,2025-03-04,Medium,0.365,True,Medium,True,0.0,ELDERLY,False,640,Standard,High
AU-CUST00759,Haley Johnson,1954-10-30,Male,AU,Single,Part-time,43448,Standard,2024-10-18,High,0.828,False,Low,False,0.0,ELDERLY,False,572,Simplified,High
AU-CUST00685,Zachary Mendoza,1996-10-19,Male,AU,Single,Full-time,94637,Standard,2025-01-13,Medium,0.928,True,Low,False,0.0,PRIOR_VICTIM,False,588,Simplified,Medium
AU-CUST00826,Jose Ramirez,1999-10-19,Male,AU,Single,Retired,71106,Standard,2024-01-10,High,0.791,False,Medium,True,0.11,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,582,Standard,High
AU-CUST00610,Shelley Miller,2004-10-17,Male,AU,Single,Unemployed,35693,Standard,2024-02-03,Medium,0.65,False,Medium,False,0.04,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,622,Enhanced,Medium
AU-CUST00011,Gina Moore,1973-10-25,Male,AU,Married,Full-time,117359,Premium,2024-03-28,Medium,0.979,False,Low,False,0.0,PRIOR_VICTIM,False,726,Standard,High
AU-CUST00473,Tracy Montoya,2005-10-17,Male,AU,Single,Part-time,49055,Standard,2025-05-20,Low,0.829,False,Low,True,0.0,PRIOR_VICTIM,False,504,Enhanced,High
AU-CUST00950,Eric Henry Jr.,1980-10-23,Male,AU,Married,Part-time,38219,Standard,2024-08-09,Low,0.355,False,Medium,True,0.02,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,507,Enhanced,High
AU-CUST00157,Cheyenne Horton,1985-10-22,Male,AU,Married,Full-time,67599,Standard,2024-07-19,Medium,0.913,True,Low,False,0.0,PRIOR_VICTIM,False,742,Enhanced,Medium
AU-CUST00096,Steve Sanchez,1959-10-29,Male,AU,Single,Part-time,64101,Standard,2024-01-31,Medium,0.769,True,Medium,False,0.05,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,552,Enhanced,High
AU-CUST00688,Tammy Boone,1998-10-19,Male,AU,Married,Unemployed,13632,Standard,2024-05-15,High,0.98,False,Low,False,0.01,YOUNG_ADULT,False,634,Enhanced,High
AU-CUST00179,Mark Brown,2002-10-18,Male,AU,Divorced,Part-time,48855,Standard,2025-02-01,Low,0.632,False,Very High,True,0.0,YOUNG_ADULT,False,553,Simplified,Medium
AU-CUST00608,Raymond Le,1996-10-19,Male,AU,Single,Retired,31378,Standard,2024-12-26,High,0.676,False,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,629,Enhanced,Medium
AU-CUST00070,John Daniel,1991-10-21,Male,AU,Single,Unemployed,110257,Standard,2025-03-24,Medium,0.235,True,Medium,False,0.01,LOW_INCOME,False,512,Standard,Medium
AU-CUST00837,Lisa Ramirez,2001-10-18,Female,AU,Married,Part-time,43255,Standard,2024-08-23,Medium,0.369,True,Medium,True,0.0,LOW_INCOME,False,583,Standard,Medium
AU-CUST00328,Colton Martinez,1989-10-21,Male,AU,Divorced,Full-time,87037,Premium,2024-09-13,Medium,0.704,True,High,False,0.0,ELDERLY,False,537,Standard,Medium
AU-CUST00821,Jim Newton,1972-10-25,Male,AU,Widowed,Full-time,11523,Standard,2025-03-19,Medium,0.478,True,Low,False,0.01,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,580,Simplified,Medium
AU-CUST00785,Jennifer Porter,1960-10-28,Male,AU,Married,Full-time,21108,Standard,2024-04-29,Medium,0.531,True,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,455,Simplified,High
AU-CUST00197,Julie Alexander,1984-10-22,Male,AU,Single,Retired,75011,Standard,2025-04-22,High,0.579,True,Low,False,0.0,YOUNG_ADULT|LOW_INCOME,False,637,Standard,High
AU-CUST00909,Ryan Murphy,1978-10-24,Male,AU,Single,Full-time,112003,Standard,2024-02-26,Medium,0.613,True,Medium,True,0.0,PRIOR_VICTIM,False,563,Enhanced,Medium
AU-CUST00237,Susan Serrano,1945-11-01,Male,AU,Single,Full-time,87306,Premium,2024-11-02,Medium,0.651,False,Low,True,0.0,PRIOR_VICTIM,False,696,Simplified,High
AU-CUST00345,Patrick Moore,1974-10-25,Male,AU,Single,Full-time,41530,Standard,2024-06-14,Medium,0.443,True,Very High,False,0.0,YOUNG_ADULT|LOW_INCOME,False,624,Standard,High
AU-CUST00733,Valerie Taylor,1982-10-23,Male,AU,Widowed,Full-time,39692,Standard,2024-12-05,High,0.81,False,Low,True,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,725,Simplified,High
AU-CUST00820,Maria Cooke,1955-10-30,Male,AU,Single,Full-time,42701,Standard,2025-05-14,Medium,0.764,False,Low,False,0.0,PRIOR_VICTIM,False,670,Standard,Medium
AU-CUST00525,James Gilbert,1966-10-27,Male,AU,Single,Full-time,63963,Standard,2025-01-05,High,0.705,True,Low,True,0.0,ELDERLY,False,651,Enhanced,High
AU-CUST00457,Ruben Dunn,1959-10-29,Male,AU,Married,Full-time,53660,Standard,2024-11-02,Medium,0.687,True,Medium,False,0.01,YOUNG_ADULT|LOW_INCOME|PRIOR_VICTIM,False,683,Standard,Medium
AU-CUST00378,Sergio Knight,1959-10-29,Male,AU,Married,Retired,82761,Standard,2024-07-05,Medium,0.695,True,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,601,Standard,High
AU-CUST00859,Shannon Miller,1991-10-21,Male,AU,Married,Unemployed,67085,Premium,2025-03-19,Medium,0.348,True,Medium,True,0.04,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,657,Enhanced,High
AU-CUST00840,Lori Mason,1984-10-22,Male,AU,Married,Retired,97736,Standard,2024-04-05,High,0.436,False,Low,False,0.0,ELDERLY|LOW_DIGITAL_LITERACY,False,798,Simplified,Medium
AU-CUST00374,Nicole Parrish,2002-10-18,Male,AU,Married,Full-time,61122,Standard,2024-01-21,Medium,0.657,False,Low,False,0.0,PRIOR_VICTIM,False,751,Standard,Medium
AU-CUST00901,Ashley Moreno,1962-10-28,Male,AU,Single,Part-time,37172,Standard,2024-09-09,High,0.228,False,Medium,False,0.06,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,614,Enhanced,High
AU-CUST00138,David Douglas Jr.,2000-10-18,Male,AU,Single,Full-time,41977,Standard,2025-04-08,High,0.711,True,Low,False,0.0,PRIOR_VICTIM,False,768,Standard,High
AU-CUST00611,Keith Rodriguez,1970-10-26,Male,AU,Single,Student,10663,Standard,2025-01-25,High,0.892,True,Medium,False,0.02,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,635,Enhanced,Medium
AU-CUST00887,Amy Miller,1985-10-22,Male,AU,Single,Full-time,56424,Standard,2025-01-12,Medium,0.376,True,Low,False,0.0,PRIOR_VICTIM,False,710,Standard,Medium
AU-CUST00717,James Tran,2005-10-17,Male,AU,Single,Full-time,70507,Standard,2024-08-26,Medium,0.552,True,Low,False,0.0,PRIOR_VICTIM,False,659,Enhanced,Medium
AU-CUST00137,Ashley Waller,1986-10-22,Male,AU,Single,Full-time,42736,Standard,2025-05-31,High,0.988,False,Low,False,0.0,PRIOR_VICTIM,False,829,Enhanced,Medium
AU-CUST00103,Michelle Evans,1997-10-19,Male,AU,Married,Full-time,85263,Standard,2025-05-25,Medium,0.853,True,Low,False,0.0,PRIOR_VICTIM,False,681,Enhanced,Medium
AU-CUST00232,Andrew Reynolds,1981-10-23,Male,AU,Married,Full-time,55383,Standard,2024-04-10,Medium,0.842,False,Low,False,0.0,YOUNG_ADULT,False,685,Standard,Medium
AU-CUST00404,Bryan Gomez,1973-10-25,Male,AU,Married,Full-time,107737,Standard,2024-03-12,Medium,0.479,True,Low,False,0.0,PRIOR_VICTIM,False,790,Simplified,Medium
AU-CUST00280,Matthew Moore,1993-10-20,Male,AU,Divorced,Unemployed,12475,Standard,2024-10-13,Low,0.776,False,Medium,True,0.2,ELDERLY|PRIOR_VICTIM|LOW_DIGITAL_LITERACY,False,386,Standard,High
